parametros: tamaño poblacion: 200, numero de generaciones: 1000
metodo de seleccion de padres: rueda de ruleta, metodo de cruzamiento: cruce basado en un punto
metodo de mutacion: inversion, seleccion de sobrevivientes: elitismo
probabilidad de cruce: 1, probabilidad de mutacion: 0.2
estancamiento de generaciones: 100
mejor fitness generacion 424: 0.010752688172043012
mejor fitness generacion 425: 0.010752688172043012
mejor fitness generacion 426: 0.010752688172043012
mejor fitness generacion 427: 0.010752688172043012
mejor fitness generacion 428: 0.010752688172043012
mejor fitness generacion 429: 0.010752688172043012
mejor fitness generacion 430: 0.010752688172043012
mejor fitness generacion 431: 0.010752688172043012
mejor fitness generacion 432: 0.010752688172043012
mejor fitness generacion 433: 0.010752688172043012
mejor fitness generacion 434: 0.010752688172043012
mejor fitness generacion 435: 0.010752688172043012
mejor fitness generacion 436: 0.010752688172043012
mejor fitness generacion 437: 0.010752688172043012
mejor fitness generacion 438: 0.010752688172043012
mejor fitness generacion 439: 0.010752688172043012
mejor fitness generacion 440: 0.010752688172043012
mejor fitness generacion 441: 0.010752688172043012
mejor fitness generacion 442: 0.010752688172043012
mejor fitness generacion 443: 0.010752688172043012
mejor fitness generacion 444: 0.010752688172043012
mejor fitness generacion 445: 0.010752688172043012
mejor fitness generacion 446: 0.010752688172043012
mejor fitness generacion 447: 0.010752688172043012
mejor fitness generacion 448: 0.010752688172043012
mejor fitness generacion 449: 0.010752688172043012
mejor fitness generacion 450: 0.010752688172043012
mejor fitness generacion 451: 0.010752688172043012
mejor fitness generacion 452: 0.010752688172043012
mejor fitness generacion 453: 0.010752688172043012
mejor fitness generacion 454: 0.010752688172043012
mejor fitness generacion 455: 0.010752688172043012
mejor fitness generacion 456: 0.010752688172043012
mejor fitness generacion 457: 0.010752688172043012
mejor fitness generacion 458: 0.010752688172043012
mejor fitness generacion 459: 0.010752688172043012
mejor fitness generacion 460: 0.010752688172043012
mejor fitness generacion 461: 0.010752688172043012
mejor fitness generacion 462: 0.010752688172043012
mejor fitness generacion 463: 0.010752688172043012
mejor fitness generacion 464: 0.010752688172043012
mejor fitness generacion 465: 0.010752688172043012
mejor fitness generacion 466: 0.010752688172043012
mejor fitness generacion 467: 0.010752688172043012
mejor fitness generacion 468: 0.010752688172043012
mejor fitness generacion 469: 0.010752688172043012
mejor fitness generacion 470: 0.010752688172043012
mejor fitness generacion 471: 0.010752688172043012
mejor fitness generacion 472: 0.010752688172043012
mejor fitness generacion 473: 0.010752688172043012
mejor fitness generacion 474: 0.010752688172043012
mejor fitness generacion 475: 0.010752688172043012
mejor fitness generacion 476: 0.010752688172043012
mejor fitness generacion 477: 0.010752688172043012
mejor fitness generacion 478: 0.010752688172043012
mejor fitness generacion 479: 0.010752688172043012
